snapshot_time_utc,game_name,stream_id,user_id,user_login,user_name,title,viewer_count,started_at,language,thumbnail_url,is_mature
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317210755814,808458331,lxonzzghg,lxonzzghg,stream oder so,8,2026-05-01T15:10:13Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_lxonzzghg-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316608843874,222586614,spud2astro,Spud2Astro,"Corpo Siege, It's FRIDAY!!! 🔥",7,2026-05-01T17:00:04Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_spud2astro-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316992573031,639115020,droideka_17,Droideka_17,SE MI SEGUI APPLAUSO CON I PIEDI !Progetto !Clip !tip !giocare !prime !orari,7,2026-05-01T14:12:46Z,it,https://static-cdn.jtvnw.net/previews-ttv/live_user_droideka_17-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315934021845,107070710,goldik01,GoldiK01,✅Гнусавый✅MemeAlerts✅360noSoap✅  !tg !ds,7,2026-05-01T17:36:53Z,ru,https://static-cdn.jtvnw.net/previews-ttv/live_user_goldik01-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316480521463,555568381,tabbitss,tabbitss,#1 hb w/h @smitty_1111111,7,2026-05-01T16:49:39Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_tabbitss-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315962167254,134300403,gamerkirsten,GamerKirsten,I'm really trying.. Not to kill my teammates,7,2026-05-01T17:39:25Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_gamerkirsten-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316992500711,107759627,klejzlikcz,KlejzlikCZ,Ahoj!,7,2026-05-01T14:05:37Z,cs,https://static-cdn.jtvnw.net/previews-ttv/live_user_klejzlikcz-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316652605283,902547920,bbamb00,Bbamb00,🔴We are live🔴R6 RANKED🔴1V1 AGAINST VIEWERS🔴,7,2026-05-01T18:12:25Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_bbamb00-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316995521255,644747293,truthroseal,TRUTHroseal,[121/365]💎SIEGE GRIND!!💎LETS GOOOOO🔴!discord !tracker !speak,6,2026-05-01T18:07:21Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_truthroseal-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315529055187,784911333,appa1888,appa1888,siege time (im bad),6,2026-05-01T17:27:19Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_appa1888-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316480338295,554789785,dark_ryuuvt,Dark_RyuuVT,"[+18][EN/ESP]🟪BIRTHDAY SUBATHONN!? 1 day of 10 day. come say hi🟪12 hours🟪!lurk, !unlurk, !discord, !Twitter",6,2026-05-01T15:57:28Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dark_ryuuvt-{width}x{height}.jpg,False
